title,original_title,budget,genre,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
My Policeman,My Policeman,0,"Drama, Romance",en,English,https://www.amazon.com/dp/B09Y8SHDPD,"In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",18.033,113,0,2022-10-20,7.741,607,"United Kingdom, United States of America",https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",The New York Times,"subject: Movies;creative_works: My Policeman (Movie);persons: Grandage, Michael;",2022-10-20T16:52:51+0000,303,"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",,,My Policeman,,,,By Teo Bugbee,
About Fate,About Fate,0,"Romance, Comedy",en,English,,"Two strangers believe in love but never seem to be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on one stormy New Year's Eve.",88.613,100,0,2022-09-08,7.439,311,United States of America,https://www.nytimes.com/2022/09/08/movies/about-fate-review.html,"Thomas Mann’s beguiling performance drives this Emma Roberts vehicle, but the romantic comedy creaks under the weight of its coincidences.",The New York Times,"subject: Movies;creative_works: About Fate (Movie);persons: Vaysberg, Marius;persons: Mann, Thomas (1991- );persons: Roberts, Emma (1991- );",2022-09-09T01:00:03+0000,289,‘About Fate’ Review: Love the One You’re With?,,,About Fate,,,,By Lisa Kennedy,
Waiting for Bojangles,En attendant Bojangles,0,"Drama, Comedy, Romance",fr,"French, English",,"A boy and his eccentric parents leave their home in Paris for a country house in Spain. As the mother descends deeper into her own mind, it's up to the boy and his father to keep her safe and happy.",15.932,124,0,2021-10-13,7.378,290,"France, United States of America",https://www.nytimes.com/2022/09/01/movies/waiting-for-bojangles-review-endless-love.html,"Set in Paris in the 1960s, the film tells the story of two irrepressible lovers, and their young son, whose tale turns tragic.",The New York Times,"subject: Movies;persons: Bourdeaut, Olivier;creative_works: Waiting for Bojangles (Movie);persons: Roinsard, Regis;",2022-09-01T11:00:06+0000,267,‘Waiting for Bojangles’ Review: Endless Love,,,Waiting for Bojangles,,,,By Calum Marsh,
I Love My Dad,I Love My Dad,0,Comedy,en,English,http://www.magpictures.com/ilovemydad/,A hopelessly estranged father catfishes his son in an attempt to reconnect.,7.757,90,0,2022-08-05,5.798,42,United States of America,https://www.nytimes.com/2022/08/04/movies/i-love-my-dad-review.html,This comedy is a daddy-issues movie with a queasy premise truly made for these times.,The New York Times,"subject: Movies;persons: Oswalt, Patton;creative_works: I Love My Dad (Movie);persons: Morosini, James;",2022-08-04T11:00:05+0000,418,‘I Love My Dad’ Review: A Father Catfishes His Son,,,A Father Catfishes His Son. We Just Wait for the Ick.,,,,By Glenn Kenny,
A Love Song,A Love Song,0,"Drama, Romance",en,"English, Spanish",,"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains.",13.985,81,278562,2022-07-29,7.0,31,United States of America,https://www.nytimes.com/2022/07/28/movies/a-love-song-review.html,Two former childhood friends rekindle their connection in this sweetly hopeful story of romantic longing.,The New York Times,"subject: Movies;creative_works: A Love Song (Movie);persons: Walker-Silverman, Max;persons: Dickey, Dale (Actor);persons: Studi, Wes;",2022-07-28T11:00:06+0000,395,‘A Love Song’ Review: When Moving Forward Means Looking Back,Critic’s Pick,,The Romantic Ache That Never Truly Dies,,,,By Jeannette Catsoulis,
A Love Song,A Love Song,0,,es,Spanish,,"It is a transit between metaphorical territories intertwining the micro and the macro, the egg and Venus, where the erotic and love become a cosmic and sentimental journey. The axis is the female body, as a source of pleasure and life, the ungovernable universe, where the complementary male element surrounds it in an echo, which drifts into the void.  To make it, we used interpolated film with super 8 of Swedish erotica, videos and images from NASA of Venus and its transit over the sun, recorded in 2012 and illustrative videos of fertilization, ovulation and nesting",0.6,4,0,,0.0,0,,https://www.nytimes.com/2022/07/28/movies/a-love-song-review.html,Two former childhood friends rekindle their connection in this sweetly hopeful story of romantic longing.,The New York Times,"subject: Movies;creative_works: A Love Song (Movie);persons: Walker-Silverman, Max;persons: Dickey, Dale (Actor);persons: Studi, Wes;",2022-07-28T11:00:06+0000,395,‘A Love Song’ Review: When Moving Forward Means Looking Back,Critic’s Pick,,The Romantic Ache That Never Truly Dies,,,,By Jeannette Catsoulis,
Alone Together,Alone Together,0,"Romance, Drama",en,English,,"Strangers June and Charlie wind up double-booked in the same upstate New York Airbnb during the start of COVID-19. Exasperating the situation, the lockdown forces them both to stay and confront the unexpected feelings that develop between them.",6.488,101,0,2022-07-22,5.063,32,United States of America,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,
Alone Together,Alone Together,0,"Thriller, Horror",en,English,,"Nassdja, a woman trapped in a toxic relationship, finds herself locked down amid a raging pandemic with her brutish boyfriend Luke. With the hope of healing their relationship, they flee to the relative safety of Luke’s remote family cabin. However, it soon becomes clear they’re not alone, as Nas is plagued by intense, psychedelic visions and Luke is affected by the malevolent spirit that stems from his traumatic past and haunts the cabin. As the supernatural entity tightens its grip, Nas must decide whether to flee or stay and fight to the bloody end.",1.07,93,0,2023-10-13,0.0,0,,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,
Alone Together,Alone Together,0,"Comedy, Romance",en,,,"Alone Together is a story about the beauty of friendship and the complexity of becoming vulnerable to another person. It follows Jo and Ross, two very different people with one thing in common: they don't want to feel alone anymore. The two attempt to make the most of their last adolescent summer, debunking teenage myths and experiencing life's hardships along the way.",1.005,91,0,2023-08-24,0.0,0,,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,
Alone Together,Alone Together,0,Comedy,en,English,,"Alone Together is a comedy featuring two young comics, Esther, a girl from the Midwest, and Benji, a brat from Beverly Hills, who find common ground in their troubled love lives and being generally intolerable. It's Ugly Betty meets Curb Your Enthusiasm.",1.4,20,0,2015-08-24,8.5,2,United States of America,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,
Alone Together,Alone Together,0,Documentary,en,,,Widespread loneliness has become the scourge of the modern age. Could increasingly realistic artificial intelligence offer a solution?,0.899,10,0,2022-09-27,0.0,0,,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,
Alone Together,Alone Together,0,"Horror, Drama",en,English,https://filmfreeway.com/AloneTogetherMovie,"When an evil presence enters her home, a young girl must confront the dark past of her relationship and her faith.",0.887,88,0,2021-01-23,6.0,1,United Kingdom,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,
Alone Together,Alone Together,0,,en,,,A teenage girl faces her troubling past of sexual abuse the only way she can think of -- by joining the boy's wrestling team.,0.6,22,0,2019-10-01,0.0,0,,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,
Alone Together,Alone Together,0,"Romance, Comedy",en,English,,Two commuters separated by the tracks develop a thing for each other before finally meeting at a bizarre support group where they finally get a chance to talk.,0.614,12,0,2021-12-04,0.0,0,United Kingdom,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,
Alone Together,Alone Together,0,"Romance, Comedy, Drama",en,English,,Two girls are chatting. They have been friends for a long time. But something is happening...,0.852,9,0,2017-02-28,0.0,0,,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,
